PCT,crime_category,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
6,misdemeanor_offenses_listing,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),73.0,58.0,43.0,55.0,63.0,41.0,66.0,92.0,72.0,49.0,73.0,90.0,100.0,106.0,105.0,69.0
6,misdemeanor_offenses_listing,ADMINISTRATIVE CODE (6)            ,6.0,8.0,4.0,4.0,3.0,3.0,3.0,5.0,6.0,6.0,0.0,3.0,0.0,2.0,2.0,0.0
6,misdemeanor_offenses_listing,FRAUDS (3)                    ,134.0,140.0,60.0,77.0,58.0,56.0,66.0,59.0,56.0,47.0,91.0,123.0,114.0,74.0,56.0,35.0
6,misdemeanor_offenses_listing,AGGRAVATED HARASSMENT 2               ,257.0,272.0,252.0,245.0,250.0,197.0,210.0,213.0,168.0,136.0,168.0,168.0,148.0,149.0,106.0,111.0
6,misdemeanor_offenses_listing,OTHER MISDEMEANORS (8),864.0,946.0,746.0,688.0,728.0,571.0,479.0,560.0,575.0,464.0,599.0,472.0,561.0,568.0,658.0,545.0
6,misdemeanor_offenses_listing,TOTAL MISDEMEANOR OFFENSES,6847.0,6513.0,5946.0,4452.0,4117.0,3707.0,4013.0,4605.0,4429.0,4271.0,4365.0,4285.0,4066.0,4035.0,3718.0,3397.0
7,seven_major_felony_offenses,MURDER & NON NEGL. MANSLAUGHTER                                ,0.0,3.0,5.0,6.0,3.0,7.0,4.0,2.0,3.0,2.0,1.0,5.0,0.0,1.0,0.0,1.0
7,seven_major_felony_offenses,RAPE                                  ,14.0,12.0,8.0,11.0,8.0,10.0,7.0,7.0,11.0,11.0,11.0,14.0,19.0,6.0,7.0,9.0
7,seven_major_felony_offenses,ROBBERY                               ,279.0,214.0,190.0,191.0,212.0,200.0,176.0,222.0,182.0,158.0,130.0,127.0,147.0,145.0,115.0,107.0
7,seven_major_felony_offenses,FELONY ASSAULT                        ,139.0,127.0,130.0,131.0,122.0,95.0,105.0,123.0,91.0,134.0,126.0,119.0,122.0,106.0,153.0,144.0
7,seven_major_felony_offenses,BURGLARY                              ,149.0,181.0,170.0,157.0,118.0,101.0,127.0,118.0,104.0,75.0,101.0,83.0,92.0,67.0,56.0,85.0
7,seven_major_felony_offenses,GRAND LARCENY                         ,258.0,233.0,243.0,245.0,269.0,309.0,362.0,328.0,340.0,275.0,284.0,316.0,350.0,362.0,372.0,409.0
7,seven_major_felony_offenses,GRAND LARCENY OF MOTOR VEHICLE                                  ,151.0,122.0,162.0,123.0,125.0,82.0,83.0,56.0,76.0,47.0,49.0,40.0,32.0,24.0,29.0,26.0
7,seven_major_felony_offenses,TOTAL SEVEN MAJOR FELONY OFFENSES,990.0,892.0,908.0,864.0,857.0,804.0,864.0,856.0,807.0,702.0,702.0,704.0,762.0,711.0,732.0,781.0
7,non_seven_major_felony-offenses,FELONY POSSESSION STOLEN PROPERTY            ,13.0,10.0,17.0,8.0,11.0,17.0,8.0,7.0,5.0,3.0,10.0,7.0,6.0,10.0,15.0,3.0
7,non_seven_major_felony-offenses,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,10.0,36.0,28.0,66.0,129.0,115.0,104.0,87.0,58.0,82.0,55.0,56.0,52.0,62.0,58.0,64.0
7,non_seven_major_felony-offenses,ARSON                                 ,23.0,19.0,11.0,7.0,7.0,9.0,3.0,13.0,11.0,7.0,12.0,10.0,9.0,10.0,29.0,17.0
7,non_seven_major_felony-offenses,FELONY SEX CRIMES (3),6.0,8.0,4.0,8.0,8.0,9.0,9.0,6.0,3.0,6.0,7.0,8.0,8.0,9.0,7.0,11.0
